CC,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
BLZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOL,0,0,0,0,0,0,0,0,0,0,0.769230769230769,1.05913503971756,1.02476515798463,0.942655145326002,1.11358574610245,1.32311977715877,1.19496855345912,0.987797791981406,1.20746432491767,1.97652872143298,1.77580466148724,1.88235294117647,1.6505406943654,1.44124168514412,1.23873873873874,1.30576713819369,1.68661588683351,1.84899845916795,1.57442748091603,1.38468195586326,1.62565905096661,1.69983416252073,1.6220294228593,1.55807365439093,1.49055978800927,1.45151327980235,1.38248847926267,1.34770889487871,1.33986086060294,1.39175257731959,1.35678391959799,1.2906309751434,1.24653739612188,1.1938978554057,1.1437908496732,1.13207547169811,1.25566794558772,1.66752621626268,1.97680117627839,1.75593920613841,1.68975069252078,1.60553452551886,0.743955362678239,2.29583095374072,0,0,0,0
BRA,0,0,0,0,0,0,0,0,0,0,1.19818527279072,1.24396388830569,1.15873064919816,1.09485487942649,1.09710521315006,0.959648129019359,1.10580921078684,1.18159479814422,1.40012936406519,1.29502080642847,1.31727935746587,1.43205623023361,1.83699090427954,1.58983220915324,1.58300719736475,1.57969207630808,1.75329880834698,1.55340618850228,1.53618360170276,1.73188344007073,1.70622544020958,2.02662452633495,1.96606025970727,2.07198095684911,2.02974590077685,2.31874703891128,2.39721801923489,2.33412484304487,2.50002987607404,2.24871743429538,2.74422540699161,2.97392607421508,3.28128473756584,3.23574730354391,3.3952554753581,3.5675363728934,4.19412014458145,4.46026168999302,5.11455180092723,6.52880784108426,6.57048238199027,7.2901285503344,8.22447678816575,9.85419008790584,0,0,0,0
BRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0536912751677852,0.0508905852417303,0.0454338936846888,0.0443852640923213,0,0,0,0
BTN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0524383848977451,0.0423190859077444,0,0,0,0
CAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.237073301589431,0.331960773353704,0.330118661911247,0.374537049928991,0.348265903696441,0.486093325820827,0.552215185788527,0.511242429443641,0.534770371387382,0.365432722898707,0.39809766947434,0.465896084215957,0.491264001518273,0.696137906180551,0.820262176868773,0.783540920542579,0.86991787098845,0.916903613303089,1.04287953526624,1.01838376443067,1.03084326330139,1.21112273361227,1.31398791772085,1.46076052129304,1.40093395597065,1.51683678659839,1.57329687037351,1.67706456876694,1.62769956573562,1.20834499689508,1.3398994663782,1.36763461630561,1.32117922594628,1.89052100258151,2.47415413533835,2.61611013194874,2.63997092334192,3.72326255819726,4.50714357565911,5.54706540966758,0,0,0
CEB,0,0,0,0,0,0,0,0,0,0,0.0435461249107137,0.0731975496471399,0.0826022220605465,0.0817870711627233,0.0684501223709998,0.0552642343543436,0.0761594889519771,0.0710797814720243,0.0648518495978044,0.0642826196900363,0.0699314833074984,0.0685818774191543,0.0885636736089715,0.0872305915845271,0.0994207365119649,0.0883476212450854,0.0476067581541608,0.0254107046666341,0.0232397477955613,0.0192660784709697,0.0281091885814229,0.0423158299673014,0.0721715679979453,0.108757134776572,0.133497260115976,0.116023839347236,0.177502302732576,0.215502358619737,0.24188126625939,0.213790806286631,0.296126834525147,0.304627710007122,0.347168850104744,0.621659231899702,0.953633107976016,1.12505664274499,1.50417395169034,2.0694828716103,2.89814808690034,3.75962429315357,5.23349115479579,7.08544407771118,8.03260883619296,9.83056837822345,0,0,0,0
CHE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.231952662721893,0.631254811393379,0.359107420861443,0.841146737662538,0.742743962824712,0.758693361433088,0.74462718191908,0.65721951131678,0.810031658442546,0.86912152393911,0.859613257816951,0.984204357290368,0.80193482688391,0.773503972997679,0.831732747976403,0.791981597108117,0.852950168144298,0.931756843593369,1.10753586602905,1.1017550651697,1.13475860297894,1.12271198287537,1.29604984574436,1.26516366911537,1.4297716336974,1.48470948012232,1.5705002740155,1.82387651629203,1.90227887215141,1.84981712548353,1.92284742526404,1.96481334273244,2.13468176588143,2.58872916931688,2.82653360727913,3.22613504074505,3.75738210036804,4.28981283300697,0,0,0
